Frame,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X5',Y5',Z5',yz_combined_velocity,X5'',Y5'',Z5'',yz_combined_acceleration
2779,-191.29,154.41,132.655,-185.179,151.372,117.305,-178.956,148.529,94.8328,-189.129,172.619,84.7876,-182.468,176.214,66.4531,-7.17044,3.11732,8.91611,0,404.268,-48.4288,278.205,0
2780,-191.282,154.165,132.587,-185.275,151.139,117.216,-178.984,148.381,94.7884,-189.16,172.436,84.9158,-182.579,176.333,66.565,-11.082,11.9314,11.1945,-16.36078043,-391.155,881.404,227.839,0
2781,-191.33,154.011,132.522,-185.313,150.914,117.122,-178.944,148.233,94.8093,-189.142,172.383,85.0849,-182.495,176.492,66.7111,8.45492,15.8891,14.6121,-21.58649961,1953.69,395.775,341.758,-522.9114468
2782,-191.385,153.823,132.502,-185.396,150.77,117.151,-178.846,148.164,94.9706,-189.031,172.269,85.3633,-182.525,176.774,66.9107,-3.0145,28.1841,19.9556,-34.53359906,-1146.94,1229.49,534.356,-1340.590167
2783,-191.54,153.681,132.587,-185.466,150.66,117.299,-178.702,148.11,95.2878,-189.139,172.123,85.7512,-182.588,176.939,67.2432,-6.29127,16.506,33.2549,-37.12595332,-327.677,-1167.8,1329.93,1769.878709
2784,-191.737,153.521,132.758,-185.544,150.486,117.558,-178.609,148.014,95.7863,-189.063,171.838,86.245,-182.601,177.018,67.6763,-1.32769,7.87526,43.3117,-44.02184772,496.358,-863.075,1005.68,1325.251191
2785,-192.069,153.293,132.996,-185.79,150.294,117.844,-178.608,147.875,96.3065,-189.127,171.54,86.831,-182.726,177.002,68.2148,-12.5155,-1.60635,53.8498,53.87375354,-1118.78,-948.161,1053.81,1417.577087
2786,-192.393,153.031,133.229,-186.08,150.061,118.168,-178.737,147.548,96.7872,-189.528,171.112,87.3001,-183.179,176.848,68.701,-45.3174,-15.3333,48.6106,50.97156581,-3280.19,-1372.69,-523.925,1469.277115
2787,-192.746,152.561,133.508,-186.451,149.683,118.421,-179.113,147.299,97.1985,-190.194,170.688,87.9614,-183.965,176.548,69.4051,-78.5098,-30.0795,70.411,76.56686778,-3319.23,-1474.62,2180.04,2631.934373
2788,-193.152,151.882,133.759,-186.695,149.223,118.746,-179.427,147.146,97.6471,-191.186,170.336,88.884,-184.827,175.936,70.4103,-86.2762,-61.1559,100.52,117.6618651,-776.648,-3107.64,3010.93,4327.022745
2789,-193.431,151.375,134.042,-186.984,148.87,119.124,-179.618,146.865,98.2096,-192.145,169.788,89.582,-185.571,175.193,71.1978,-74.4015,-74.3389,78.7526,108.2970178,1187.47,-1318.31,-2176.76,2544.842894
2790,-193.561,150.948,134.396,-187.061,148.462,119.535,-179.759,146.407,98.7194,-192.627,168.953,89.8668,-186.082,174.426,71.4469,-51.1125,-76.6247,24.9133,80.57305484,2328.9,-228.584,-5383.94,5388.790269
2791,-193.83,150.527,134.726,-187.26,147.992,119.87,-179.726,145.75,99.1568,-192.738,168.072,90.1564,-186.378,173.626,71.6546,-29.5952,-80.0148,20.7715,82.6669428,2151.73,-339.001,-414.178,535.2243396
2792,-193.933,150.133,135.037,-187.396,147.552,120.195,-179.656,145.108,99.7607,-192.736,167.228,90.9812,-186.491,172.568,72.4447,-11.2981,-105.804,79.0104,132.0497244,1829.71,-2578.94,5823.9,6369.35968
2793,-194.022,149.889,135.377,-187.501,147.135,120.633,-179.421,144.445,100.626,-192.875,166.32,92.4784,-186.342,170.826,73.928,14.9563,-174.199,148.325,228.7916022,2625.44,-6839.48,6931.5,9737.770737
2794,-194.003,149.734,135.713,-187.357,146.884,121.252,-179.216,143.859,101.618,-193.655,165.271,94.3914,-185.793,167.128,76.5024,54.8378,-369.801,257.442,450.5875752,3988.15,-19560.2,10911.7,22397.91555
2795,-193.934,149.677,136.082,-187.17,146.797,121.924,-179.141,143.293,102.566,-194.461,163.994,96.1756,-185.13,161.894,80.245,66.3236,-523.379,374.258,643.4241433,1148.58,-15357.9,11681.6,19295.72157
2796,-193.9,149.712,136.402,-186.822,146.668,122.54,-179.139,142.496,103.395,-194.684,162.859,97.6948,-184.79,156.697,84.5929,34.0223,-519.705,434.793,677.5974025,-3230.12,367.463,6053.45,-6064.592811
2797,-193.616,149.806,136.619,-186.401,146.511,123.023,-179.186,141.582,104.223,-194.391,161.87,98.9492,-184.925,152.453,88.8435,-13.5481,-424.439,425.058,600.6852488,-4757.05,9526.61,-973.493,-9576.219855
2798,-193.204,149.927,136.794,-185.85,146.4,123.448,-179.385,140.748,104.963,-194.056,160.89,99.8189,-185.388,149.645,92.3858,-46.2502,-280.805,354.233,452.0314882,-3270.21,14363.4,-7082.45,-16014.62949
2799,-192.756,150.099,137.003,-185.289,146.368,123.761,-179.703,139.884,105.536,-193.868,159.729,99.9137,-185.701,147.576,94.816,-31.2731,-206.888,243.019,319.1565116,1497.72,7391.72,-11121.4,-13353.76586
